69,大洋洲合計,1300
69,大洋洲其他,226
69,中東,8438
69,巴西,285
69,日本,173581
69,比利時,138
69,加拿大,1548
69,未列明,0
69,印尼,4507
69,印度,87
69,西班牙,246
69,亞洲合計,402244
69,亞洲其他,169
69,奈及利亞,177
69,法國,586
69,阿根廷,339
69,非洲合計,2773
69,非洲其他,1650
69,南非,946
69,美洲合計,73754
69,美洲其他,2134
69,美國,69448
69,英國,898
69,香港,63812
69,泰國,14956
69,紐西蘭,75
69,馬來西亞,4418
69,荷蘭,206
69,菲律賓,35718
69,新加坡,19563
69,瑞士,207
69,義大利,461
69,德國,1239
69,歐洲合計,4830
69,歐洲其他,849
69,澳大利亞,999
69,韓國,76995
70,大洋洲合計,1779
70,大洋洲其他,288
70,中東,9076
70,巴西,251
70,日本,218486
70,比利時,183
70,加拿大,1741
70,未列明,0
70,印尼,5694
70,印度,128
70,西班牙,367
70,亞洲合計,480673
70,亞洲其他,255
70,奈及利亞,239
70,法國,877
70,阿根廷,719
70,非洲合計,5407
70,非洲其他,2982
70,南非,2186
70,美洲合計,80901
70,美洲其他,1791
70,美國,76399
70,英國,1499
70,香港,72418
70,泰國,15919
70,紐西蘭,123
70,馬來西亞,5035
70,荷蘭,264
70,菲律賓,35170
70,新加坡,20251
70,瑞士,321
70,義大利,683
70,德國,1345
70,歐洲合計,6777
70,歐洲其他,1238
70,澳大利亞,1368
70,韓國,98241
71,大洋洲合計,1444
71,大洋洲其他,221
71,中東,8870
71,巴西,394
71,日本,260414
71,比利時,193
71,加拿大,2046
71,未列明,0
71,印尼,6985
71,印度,125
71,西班牙,294
71,亞洲合計,522434
71,亞洲其他,360
71,奈及利亞,267
71,法國,1427
71,阿根廷,653
71,非洲合計,4870
71,非洲其他,2162
71,南非,2441
71,美洲合計,104135
71,美洲其他,2047
71,美國,98995
71,英國,1261
71,香港,81558
71,泰國,21726
71,紐西蘭,182
71,馬來西亞,8996
71,荷蘭,297
71,菲律賓,42274
71,新加坡,24124
71,瑞士,325
71,義大利,974
71,德國,1275
71,歐洲合計,7786
71,歐洲其他,1740
71,澳大利亞,1041
71,韓國,67002
72,大洋洲合計,1214
72,大洋洲其他,212
72,中東,10152
72,巴西,462
72,日本,256102
72,比利時,258
72,加拿大,2159
72,未列明,0
72,印尼,7693
72,印度,91
72,西班牙,300
72,亞洲合計,545211
72,亞洲其他,430
72,奈及利亞,153
72,法國,1034
72,阿根廷,902
72,非洲合計,3353
72,非洲其他,742
72,南非,2458
72,美洲合計,115874
72,美洲其他,2203
72,美國,110148
72,英國,1843
72,香港,98754
72,泰國,23631
72,紐西蘭,114
72,馬來西亞,10320
72,荷蘭,1735
72,菲律賓,37375
72,新加坡,25656
72,瑞士,336
72,義大利,770
72,德國,1230
72,歐洲合計,8926
72,歐洲其他,1420
72,澳大利亞,888
72,韓國,75007
73,大洋洲合計,1741
73,大洋洲其他,571
73,中東,9447
73,巴西,386
73,日本,292127
73,比利時,162
73,加拿大,2301
73,未列明,0
73,印尼,8221
73,印度,74
73,西班牙,275
73,亞洲合計,594752
73,亞洲其他,930
73,奈及利亞,117
73,法國,1357
73,阿根廷,1473
73,非洲合計,3309
73,非洲其他,763
73,南非,2429
73,美洲合計,139104
73,美洲其他,2252
73,美國,132692
73,英國,1310
73,香港,109075
73,泰國,22619
73,紐西蘭,123
73,馬來西亞,12974
73,荷蘭,2932
73,菲律賓,36549
73,新加坡,29648
73,瑞士,187
73,義大利,573
73,德國,1651
73,歐洲合計,11498
73,歐洲其他,3051
73,澳大利亞,1047
73,韓國,73088
74,大洋洲合計,2735
74,大洋洲其他,748
74,中東,7210
74,巴西,819
74,日本,312173
74,比利時,266
74,加拿大,3147
74,未列明,0
74,印尼,6780
74,印度,95
74,西班牙,397
74,希臘,2411
74,亞洲合計,649584
74,亞洲其他,1517
74,奈及利亞,173
74,法國,1333
74,阿根廷,2031
74,非洲合計,2986
74,非洲其他,821
74,南非,1992
74,美洲合計,173188
74,美洲其他,3030
74,美國,164161
74,英國,2090
74,香港,118405
74,泰國,30467
74,紐西蘭,154
74,馬來西亞,17150
74,荷蘭,4526
74,菲律賓,34303
74,奧地利,3576
74,新加坡,31212
74,瑞士,235
74,義大利,747
74,德國,1901
74,歐洲合計,18296
74,歐洲其他,814
74,澳大利亞,1833
74,韓國,90272
75,大洋洲合計,3475
75,大洋洲其他,708
75,中東,4182
75,巴西,763
75,日本,253524
75,比利時,206
75,加拿大,3074
75,未列明,0
75,印尼,7058
75,印度,111
75,西班牙,398
75,希臘,1606
75,亞洲合計,627134
75,亞洲其他,1735
75,奈及利亞,140
75,法國,1480
75,阿根廷,2114
75,非洲合計,3410
75,非洲其他,790
75,南非,2480
75,美洲合計,162137
75,美洲其他,2724
75,美國,153462
75,英國,1720
75,香港,121427
75,泰國,63271
75,紐西蘭,148
75,馬來西亞,30841
75,荷蘭,4626
75,菲律賓,32510
75,奧地利,2940
75,新加坡,30831
75,瑞士,329
75,義大利,718
75,德國,1845
75,歐洲合計,16772
75,歐洲其他,904
75,澳大利亞,2619
75,韓國,81644
76,大洋洲合計,4086
76,大洋洲其他,642
76,中東,3864
76,巴西,634
76,日本,295007
76,比利時,217
76,加拿大,3674
76,未列明,0
76,印尼,16035
76,印度,111
76,西班牙,282
76,希臘,3102
76,亞洲合計,849516
76,亞洲其他,3041
76,奈及利亞,115
76,法國,2339
76,阿根廷,1966
76,非洲合計,5069
76,非洲其他,875
76,南非,4079
76,美洲合計,173067
76,美洲其他,2526
76,美國,164267
76,英國,2712
76,香港,195501
