Influenza Virological Surveillance -> Guest user -> Number of influenza viruses detected -> A(H1N1)pdm09
"(Periodicity: Week, Applied Time Period: from 1/2009 to 53/2010)"
,2009 week: 1,2009 week: 2,2009 week: 3,2009 week: 4,2009 week: 5,2009 week: 6,2009 week: 7,2009 week: 8,2009 week: 9,2009 week: 10,2009 week: 11,2009 week: 12,2009 week: 13,2009 week: 14,2009 week: 15,2009 week: 16,2009 week: 17,2009 week: 18,2009 week: 19,2009 week: 20,2009 week: 21,2009 week: 22,2009 week: 23,2009 week: 24,2009 week: 25,2009 week: 26,2009 week: 27,2009 week: 28,2009 week: 29,2009 week: 30,2009 week: 31,2009 week: 32,2009 week: 33,2009 week: 34,2009 week: 35,2009 week: 36,2009 week: 37,2009 week: 38,2009 week: 39,2009 week: 40,2009 week: 41,2009 week: 42,2009 week: 43,2009 week: 44,2009 week: 45,2009 week: 46,2009 week: 47,2009 week: 48,2009 week: 49,2009 week: 50,2009 week: 51,2009 week: 52,2009 week: 53,2010 week: 1,2010 week: 2,2010 week: 3,2010 week: 4,2010 week: 5,2010 week: 6,2010 week: 7,2010 week: 8,2010 week: 9,2010 week: 10,2010 week: 11,2010 week: 12,2010 week: 13,2010 week: 14,2010 week: 15,2010 week: 16,2010 week: 17,2010 week: 18,2010 week: 19,2010 week: 20,2010 week: 21,2010 week: 22,2010 week: 23,2010 week: 24,2010 week: 25,2010 week: 26,2010 week: 27,2010 week: 28,2010 week: 29,2010 week: 30,2010 week: 31,2010 week: 32,2010 week: 33,2010 week: 34,2010 week: 35,2010 week: 36,2010 week: 37,2010 week: 38,2010 week: 39,2010 week: 40,2010 week: 41,2010 week: 42,2010 week: 43,2010 week: 44,2010 week: 45,2010 week: 46,2010 week: 47,2010 week: 48,2010 week: 49,2010 week: 50,2010 week: 51,2010 week: 52
Cape Verde,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,0,0,0,0,3,0,0,1,1,1,5,21,4,1,11,8,7,4,4,6,7,0,2,1,9,11,6,4,2,1,2,1,0,1,0,0,0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")"
Central African Republic,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,"=T("" "")","=T("" "")",0,0,0,0,0,0
Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,109,261,279,257,353,511,614,652,494,160,78,45,16,8,8,7,1,0,1,4,0,2,0,3,3,4,7,2,10,0,2,"=T("" "")","=T("" "")",3,0,0,0,0,0,1,3,0,4,0,2,5,2,3,3,6,12,9,6,7,11,13,24,20,31,40,45,33,36,34,51,64,46,52,19,7,13,3,1,1,0,0,0,0,0,2,0,0,0,0,0
China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,16,15,29,220,378,258,317,562,901,"1,391",25,"1,496","2,124","2,631","2,710","4,142","4,242","5,383","2,027","1,097","1,901","2,271","3,028","4,394","2,896","5,087","3,808","3,007","3,511","2,812","2,268","1,678","1,218",927,638,459,299,180,71,102,189,209,159,153,97,51,47,40,36,40,51,27,28,22,31,15,24,32,55,66,77,60,92,110,69,72,59,42,25,29,16,25,12,22,43,8,5,13,21,25,22,42,127,203
Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,8,7,3,4,11,16,30,32,30,45,36,24,15,40,41,55,60,95,178,198,194,190,155,80,56,44,51,53,59,43,7,11,17,14,28,36,"=T("" "")",33,36,14,9,7,6,7,5,4,4,9,1,4,2,8,5,7,1,7,6,13,35,31,19,27,25,21,25,14,13,15,9,6,14,3,10,13,7,10,7,1,1,0,4,4,14,11,1,8,5,5,7
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",48,28,20,19,8,13,9,85,15,19,13,14,9,20,19,12,3,14,14,17,19,50,56,36,65,46,24,15,25,14,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,"=T("" "")","=T("" "")",0,0,0,0,0,0,0,0,0,0,0,1,6,19,21,8,14,9,16,19,39,36,12,6,8,2,5,27,65,133,138,325,257,162,69,30,23,31,24,8,12,4,5,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,131
Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,8,26,42,40,46,40,32,32,34,22,19,46,20,3,10,13,110,71,104,51,47,48,26,12,15,11,7,1,2,0,"=T("" "")",5,4,3,3,7,5,4,15,10,10,21,35,66,83,93,61,61,59,71,42,42,17,30,9,25,5,11,8,3,8,11,10,14,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Czech Republic,0,0,0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,0,0,0,1,0,2,1,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",4,"=T("" "")",0,4,"=T("" "")",5,17,45,90,85,89,186,126,125,75,"=T("" "")","=T("" "")","=T("" "")",23,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,1,0,"=T("" "")",0,0,0,0,0,1,0,0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,2,7,"=T("" "")",0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")",2
C�te d'Ivoire,0,"=T("" "")",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"=T("" "")","=T("" "")",0,0,0,0,0,0,0,0,0,0,0,1,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,1,0,0,1,1,0,1,1,2,2,18,4,3,0,1,0,0,0,0,0,3,0,2,0,1,0,0,1,0,0,1,4,"=T("" "")",0,1,0,1,0,0,1,"=T("" "")",2,2,2,0,1,0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")"
Democratic Republic of the Congo,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,4,3
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"=T("" "")",0,0,1,7,0,17,19,18,18,88,88,114,79,57,59,19,20,17,21,3,8,19,38,51,219,306,392,168,126,70,71,24,"=T("" "")",17,8,2,3,4,6,1,2,2,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,7,12,10
Dominican Republic,0,0,0,0,0,0,0,0,0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,"=T("" "")",0,0,0,0,0,0,0,0,0,"=T("" "")",0,0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,1,24,17,19,25,5,42,75,132,125,137,91,54,85,100,46,75,47,67,75,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",36,24,"=T("" "")","=T("" "")","=T("" "")",18,22,40,37,44,36,31,37,25,28,15,6,2,4,2,1,4,3,0,5,2,1,4,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,0,0,4,25,27
Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,17,22,17,15,18,69,80,88,111,116,132,31,24,10,36,31,36,38,81,113,470,835,337,331,330,582,869,948,586,735,387,192,77,52,44,25,11,6,6,3,3,5,3,2,2,2,9,2,1,0,3,4,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,5,14,19,20,19,40,72,142,364,510
El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,21,19,34,69,102,44,62,67,57,81,52,49,17,6,12,7,11,3,6,4,10,9,14,5,7,0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,3,1,1,5,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"=T("" "")","=T("" "")"
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,8,0,2,7,12,6,10,6,1,4,3,2,2,0,0,0,0,2,16,63,69,72,92,127,80,106,59,34,35,24,20,9,11,12,2,2,2,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,5,4
Ethiopia,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,2,7,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,18,0,0,0,0,0,0,0
Fiji,"=T("" "")","=T("" "")","=T("" "")",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,8,52,93,46,2,3,3,1,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"=T("" "")",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,4,8,5,6,0,0,0,0,2,0,0,0,0,0,0,0,0,"=T("" "")"
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,"=T("" "")","=T("" "")",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,14,15,5,2,0,4,34,24,37,85,74,37,10,5,0,2,0,0,1,1,0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,0,0,0,0,0,0,0,0,1,6,13,59,24,9
France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,10,16,11,10,16,17,9,23,15,10,16,23,35,45,33,108,67,114,108,242,284,721,"1,308","1,346","1,853","3,509","3,877","3,426","2,666","1,551","1,028",637,248,137,89,41,26,15,13,4,7,2,3,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,1,5,14,29,53,98,168
French Guiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,11,14,25,25,49,21,22,26,5,3,14,12,7,2,3,1,6,1,2,1,7,1,2,9,3,4,2,1,0,3,1,0,0,0,0,0,2,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Gambia,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")"
Georgia,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,0,0,"=T("" "")",0,0,0,0,0,0,0,0,1,1,10,1,0,1,2,4,1,0,1,0,0,2,3,3,17,26,62,76,"=T("" "")",253,296,153,63,62,35,"=T("" "")",15,4,7,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,2,3,10,24,76,58,41,18,42,71,110,69,24,13,18,8,3,7,6,3,4,10,15,34,68,186,226,199,111,93,96,75,37,"=T("" "")",25,24,18,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",3,7,2,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,2,0,1,14,11,27
Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1,2,2,2,0,0,0,0,1,0,3,9,16,9,2,0,0,0,1,0,0,0,0,0,0,1,15,16,15,61,125,194,116,79,44,17,4,13,22,14,20,39,22,24,9,14,23,20,7,4,4,1,30,21,0,2,0,2,0,0,1,1,0,0,1,1,0,1,2,0,1
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,37,46,156,246,147,363,280,227,190,117,77,32,18,33,35,38,45,52,91,161,714,"1,097","1,165",852,68,58,472,466,356,198,117,69,103,81,55,38,18,19,14,9,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,1,13,8,9,10,25,39,24,48,25,23,18,8,16,7,3,4,0,3,2,1,0,1,0,2,0,1,0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",19,24,19,14,6,4,0,4,10,7,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,3,3,1,6,7,13,3,3,0,2,1,2,7,0,0,0,0,3,1,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,"=T("" "")",0
Guinea,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")"
Guinea-Bissau,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")"
Honduras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,34,66,8,5,30,32,19,11,17,27,45,48,45,25,29,34,28,11,10,7,15,7,7,5,11,3,4,3,4,6,1,0,2,"=T("" "")",1,0,4,4,8,2,8,11,27,29,19,12,3,7,10,4,8,0,2,3,1,1,3,2,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,0,0,0,0,0,3,"=T("" "")",2,1,13,5,3,0,35,23,"=T("" "")",11,4,6,47,25,13,24,12,15,9,13,28,143,225,238,282,258,147,73,"=T("" "")",107,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",7,11,4,4,4,2,2,1,0,1,0,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1
Iceland,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,2,2
India,0,0,0,0,0,0,0,0,0,0,0,0,0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",13,9,18,23,27,45,67,209,713,292,149,113,166,279,318,224,176,146,105,80,85,68,103,122,120,136,146,126,"=T("" "")",118,121,125,104,128,122,106,101,108,90,74,65,60,93,58,28,32,43,29,22,16,14,14,17,35,54,94,104,232,310,428,491,422,389,286,204,161,91,49,15,10,0,8,3,0,0,0,0,0,0,"=T("" "")","=T("" "")"
Indonesia,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",1,0,0,0,0,0,0,0,0,1,0,0,4,1,1,2,3,0,1,1,3,2,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,4,1,4,2,3,5,3,4,6,7,8,4,11
