Influenza Virological Surveillance -> Guest user -> Number of influenza viruses detected -> A(H1N1)pdm09
"(Periodicity: Week, Applied Time Period: from 1/2009 to 53/2010)"
,2009 week: 1,2009 week: 2,2009 week: 3,2009 week: 4,2009 week: 5,2009 week: 6,2009 week: 7,2009 week: 8,2009 week: 9,2009 week: 10,2009 week: 11,2009 week: 12,2009 week: 13,2009 week: 14,2009 week: 15,2009 week: 16,2009 week: 17,2009 week: 18,2009 week: 19,2009 week: 20,2009 week: 21,2009 week: 22,2009 week: 23,2009 week: 24,2009 week: 25,2009 week: 26,2009 week: 27,2009 week: 28,2009 week: 29,2009 week: 30,2009 week: 31,2009 week: 32,2009 week: 33,2009 week: 34,2009 week: 35,2009 week: 36,2009 week: 37,2009 week: 38,2009 week: 39,2009 week: 40,2009 week: 41,2009 week: 42,2009 week: 43,2009 week: 44,2009 week: 45,2009 week: 46,2009 week: 47,2009 week: 48,2009 week: 49,2009 week: 50,2009 week: 51,2009 week: 52,2009 week: 53,2010 week: 1,2010 week: 2,2010 week: 3,2010 week: 4,2010 week: 5,2010 week: 6,2010 week: 7,2010 week: 8,2010 week: 9,2010 week: 10,2010 week: 11,2010 week: 12,2010 week: 13,2010 week: 14,2010 week: 15,2010 week: 16,2010 week: 17,2010 week: 18,2010 week: 19,2010 week: 20,2010 week: 21,2010 week: 22,2010 week: 23,2010 week: 24,2010 week: 25,2010 week: 26,2010 week: 27,2010 week: 28,2010 week: 29,2010 week: 30,2010 week: 31,2010 week: 32,2010 week: 33,2010 week: 34,2010 week: 35,2010 week: 36,2010 week: 37,2010 week: 38,2010 week: 39,2010 week: 40,2010 week: 41,2010 week: 42,2010 week: 43,2010 week: 44,2010 week: 45,2010 week: 46,2010 week: 47,2010 week: 48,2010 week: 49,2010 week: 50,2010 week: 51,2010 week: 52
Belarus,"=T("" "")","=T("" "")","=T("" "")",0,0,0,0,0,0,0,0,0,0,0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,"=T("" "")","=T("" "")","=T("" "")",0,0,0,0,0,0,1,0,0
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,17,61,16,7,14,15,14,18,7,5,10,15,22,46,85,178,285,164,150,114,74,37,34,29,21,10,3,2,7,5,2,2,3,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,"=T("" "")","=T("" "")","=T("" "")",0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,11,14,25
Bolivia,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,0,0,0,0,0,1,0,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,3,9,24,79,105,59,31,22,15,7,5,5,5,4,2,1,1,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,0,0,0,0,0
Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,2,12,17,0,85,322,70,16,36,51,35,49,79,81,79,114,81,47,53,40,38,49,44,26,30,33,23,18,16,4,5,5,11,3,16,28,14,11,14,12,13,59,83,76,56,46,31,37,17,15,15,8,6,5,7,6,10,15,12,5,5,1,4,0,0,0,0,0,0,0,1,1,0,0,6,2,0,1,0,0,0,0,0,0,0
Bulgaria,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,0,0,0,0,1,1,0,0,6,4,3,7,11,3,10,10,9,0,1,2,4,4,12,24,19,33,137,193,145,92,22,19,16,12,"=T("" "")","=T("" "")",2,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,0,0,0,0,0,0,0,0,0,0,0,"=T("" "")",0,"=T("" "")",0,0,0,0,0,0,"=T("" "")",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,0,0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")"
Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,4,7,"=T("" "")",3,2,2,4,12,13,24,16,32,24,36,47,37,13,36,12,21,13,14,10,5,2,"=T("" "")",3,6,2,1,0,1,1,2,2,0,1,7,0,0,0,0,0,0,0,0,0,0,1,2,1,10,13,15,22,16,9,6,5,4,3,8,37,26,37,24,19,21,24,18,9,6,11,3,6,5,1,1
Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,0,"=T("" "")",1,0,0,0,3,6,1,4,2,2,2,5,3,4,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,1,1,4,16,18,18,24,20,13,5,4,0
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,280,65,509,"1,917","1,768",697,456,431,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",56,38,98,164,214,269,"1,335","3,822","7,106","7,255","6,247","3,859","1,813",696,263,114,39,28,29,12,7,7,7,3,3,5,1,4,7,3,4,3,0,2,4,1,0,1,1,0,1,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,5,5,15,15,29
