年份(Years),月份(Months),亞洲總計(Asia Total),香港(Hong Kong),中國大陸(Mainland China),澳門(Macao),日本(Japan),韓國(Korea),印度(India),越南(Vietnam),泰國(Thailand),馬來西亞(Malaysia),新加坡(Singapore),菲律賓(Philippines),汶萊(Brunei),印尼(Indonesia),柬埔寨(Cambodia),寮國(Laos),緬甸(Myanmar),斯里蘭卡(Sri Lanka),不丹(Bhutan),尼泊爾(Nepal),孟加拉(Bangladesh),巴基斯坦(Pakistan),蒙古(Mongolia),東帝汶(Timor),索羅門群島(Solomon Islands),馬爾地夫(Maldives),賽席爾(Seychelles),吉里巴斯(Kiribati),伊朗(Iran),伊拉克(Iraq),沙烏地阿拉伯(Saudi Arabia),科威特(Kuwait),以色列(Israel),約旦(Jordan),敘利亞(Syria),黎巴嫩(Lebanon),阿拉伯聯合大公國(United Arab Emirates),葉門(Yemen),土耳其(Turkey),賽普勒斯(Cyprus),阿富汗(Afghanistan),美洲總計(Americas Total),美國(United States of America),加拿大(Canada),墨西哥(Mexico),巴西(Brazil),阿根廷(Argentina),巴拿馬(Panama),哥斯大黎加(Costa Rica),多明尼加(Dominican Rep.),瓜地馬拉(Guatemala),宏都拉斯(Honduras),海地(Haiti),尼加拉瓜(Nicaragua),薩爾瓦多(El Salvador),貝里斯(Belize),聖露西亞(Saint Lucia),智利(Chile),委內瑞拉(Venezuela),玻利維亞(Bolivia),哥倫比亞(Colombia),厄瓜多爾(Ecuador),圭亞馬(Guaymas),巴拉圭(Paraguay),秘魯(Peru),烏拉圭(Uruguay), 歐洲總計(Europe Total),比利時(Belgium),法國(France),德國(Germany),義大利(Italy),荷蘭(Netherlands),英國(U.K.),西班牙(Spain),瑞典(Sweden),瑞士(Switzerland),奧地利(Austria),希臘(Greece),俄羅斯(Russian Federation),挪威(Norway),丹麥(Denmark),愛爾蘭(Ireland),冰島(Iceland),葡萄牙(Portugal),芬蘭(Finland),烏克蘭(Ukraine),克羅埃西亞(Croatia),愛沙尼亞(Estonia),立陶宛(Lithuania),拉脫維亞(Lativia),斯洛凡尼亞(Slovenia),斯洛伐克(Slovakia),波蘭(Poland),捷克(Czech),匈牙利(Hungary),羅馬尼亞(Romania),保加利亞(Bulgaria),大洋洲總計(Oceania Total),澳大利亞(Australia),紐西蘭(New Zealand),斐濟(Fiji),諾魯(Nauru),帛琉(Palau),馬紹爾(Marshall),非洲總計(Africa Total),南非(S. Africa),埃及(Egypt),摩洛哥(Morocco),阿爾及利亞(Algeria),突尼西亞(Tunisia),肯亞(Kenya),奈及利亞(Nigeria),模里西斯(Mauritius),史瓦濟蘭(Swaziland),小計(Subtotals),總計(Totals)
101 (2012),10,"843,869","181,475","292,306","45,955","142,486","47,497",11,"27,979","28,707","14,769","17,959","17,187",3,"18,961","6,553",0,"2,008",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,10,"40,420","35,328","5,083",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"21,317",0,"2,385","2,882","1,914","6,569","3,060",0,0,0,"4,503",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"6,349","3,764",14,0,0,"2,571",0,0,0,0,0,0,0,0,0,0,0,"1,823,906","912,063"
101 (2012),11,"731,147","149,827","250,231","39,890","132,920","38,561","1,548","23,697","31,289","11,865","17,478","14,086",34,"11,537","6,064",0,"2,108",2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,8,"28,255","25,066","3,175",0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"6,807",0,"1,824","2,182",0,"1,047",109,0,0,0,"1,645",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,102","4,745",7,0,0,"2,350",0,0,0,0,0,0,0,0,0,0,0,"1,546,622","773,440"
101 (2012),12,"713,518","161,999","229,337","42,963","120,253","39,365","1,366","24,327","30,495","12,617","18,542","12,390",73,"10,452","6,777",0,"2,514",0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,44,2,0,0,0,0,"27,504","24,087","3,406",0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,-,0,0,0,"5,249",0,"1,521","1,645",0,746,2,0,0,0,"1,335",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,088","4,813",8,0,0,"2,262",0,0,0,0,0,0,0,0,0,0,0,"1,506,714","753,440"
102 (2013),1,"704,042","153,216","206,418","36,624","128,322","44,828","1,689","23,234","31,174","15,385","28,592","15,583",2,"10,597","5,998",0,"2,376",1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,"35,115","30,631","4,468",3,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"5,519",0,"1,859","2,050",0,821,1,0,0,0,788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,764","6,351",1,0,0,"2,406",1,3,0,0,0,0,0,0,0,0,0,"1,506,878","753,483"
102 (2013),2,"914,067","200,670","263,527","45,579","166,278","46,443","1,726","39,702","43,975","22,338","34,379","21,573",283,"17,474","7,057",158,"2,889",1,0,0,0,0,0,0,0,8,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,"34,882","30,534","4,329",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,10,0,"7,905",0,"2,185","2,681",0,"2,085",0,0,0,0,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,696","7,073",0,0,0,"2,623",0,1,0,0,0,0,0,0,0,0,0,"1,933,098","966,575"
102 (2013),3,"770,918","149,360","244,035","38,616","157,345","41,501","1,833","25,335","39,654","14,404","20,099","15,108","2,107","13,390","5,748",0,"2,296",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,4,0,0,0,0,"28,489","24,015","4,468",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"7,939",0,"2,130","3,240",70,"1,159",0,0,0,0,"1,340",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,182","5,490",0,6,0,"1,682",0,0,0,0,0,0,0,0,0,0,0,"1,629,051","814,558"
102 (2013),4,"850,233","180,319","246,156","40,397","203,211","34,620","1,469","27,676","43,508","15,841","22,459","14,129",0,"13,472","5,030",0,"1,901",0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,30,0,0,0,2,0,0,3,0,"32,382","27,033","5,341",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"8,884",0,"1,905","3,663",0,"1,604",0,0,0,0,"1,712",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,321","4,905",0,2,0,"1,407",0,0,0,0,0,0,0,0,0,0,0,"1,795,633","897,886"
102 (2013),5,"799,738","146,183","230,912","30,785","207,335","39,360","1,509","28,182","42,960","16,178","20,525","10,237",3,"12,612","4,674",0,"1,774",0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,"6,506",0,0,0,0,0,0,0,0,"36,163","30,061","6,091",7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"10,851",0,"3,171","3,607",0,"1,655",0,0,0,0,"2,409",0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,518","4,684",0,0,0,"1,823",0,0,0,0,0,0,0,0,0,0,0,"1,706,529","853,288"
102 (2013),6,"934,271","174,775","247,929","39,409","246,734","48,097","2,048","33,448","55,103","23,107","26,069","6,341",1,"16,063","3,724",0,"1,887",0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,"9,525",0,0,0,0,0,0,0,0,"46,373","39,258","7,109",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"13,684",0,"4,052","4,666",0,"2,467",0,0,0,0,"2,498",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,528","6,039",0,27,0,"2,457",1,0,0,0,0,0,0,0,0,0,0,"2,005,708","1,002,864"
102 (2013),7,"1,017,208","190,939","284,747","46,145","254,001","46,547","2,340","40,185","46,235","28,428","36,484","8,279",3,"16,650","3,537",0,"2,101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,581",0,0,0,2,0,0,3,0,"49,785","43,053","6,723",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"12,342",0,"3,021","3,894",0,"3,170",0,0,0,0,"2,255",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,914","6,502",5,0,0,"3,397",0,0,0,0,0,0,0,0,0,0,0,"2,178,487","1,089,257"
102 (2013),8,"955,905","184,125","283,375","52,595","213,804","49,805","1,600","31,184","46,351","23,717","30,649","6,702",6,"14,313","3,857",131,"1,576",2,2,0,0,0,0,0,0,0,3,0,0,0,0,1,"12,102",0,0,0,1,0,0,2,0,"46,789","39,241","7,537",3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"11,303",0,"2,653","4,153",0,"2,495",0,0,0,0,"2,002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,369","5,287",0,0,0,"3,074",0,8,0,0,0,0,0,0,0,0,0,"2,044,730","1,022,387"
102 (2013),9,"914,652","166,244","271,078","47,569","217,611","43,935","1,800","29,137","48,465","20,911","24,944","6,796",5,"15,592","4,110",0,"1,770",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,"14,678",0,0,0,0,0,0,2,0,"39,462","32,700","6,755",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"15,228",0,"3,738","4,888",0,"3,066",0,0,0,0,"3,531",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,241","5,562",0,0,0,"2,670",6,0,0,0,0,0,0,0,0,0,0,"1,955,162","977,616"
102 (2013),10,"952,631","183,024","300,871","48,345","217,798","45,782","1,776","27,980","43,406","17,688","20,723","8,248",1,"13,047","4,991",0,"1,565",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"17,381",0,0,0,2,0,0,0,0,"33,619","28,460","5,136",0,0,0,3,0,0,0,0,0,0,0,20,0,0,0,0,0,0,-,0,0,0,"12,034",0,"3,282","4,331",0,"1,371",0,0,0,0,"3,050",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,706","6,481",0,0,0,"2,213",0,0,0,0,0,0,0,0,0,0,0,"2,013,965","1,007,052"
102 (2013),11,"815,172","151,802","258,093","44,472","180,498","38,501","1,435","27,676","36,044","15,664","17,207","8,684",0,"12,013","5,881",0,"1,884",0,4,0,0,0,0,0,0,0,4,0,0,0,0,2,"15,306",0,0,0,2,0,0,0,0,"32,246","28,774","3,464",3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"8,089",0,"2,548","2,368",0,"1,358",0,0,0,0,"1,814",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,412","5,776",0,5,0,"1,625",6,0,0,0,0,0,0,0,0,0,0,"1,725,837","862,989"
102 (2013),12,"760,100","158,075","235,186","44,165","153,070","39,109","1,430","28,218","30,741","13,258","15,458","7,681",0,"11,155","6,731",0,"1,845",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"13,970",0,0,0,1,0,0,1,0,"31,290","27,614","3,665",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,2,"6,022",0,"2,456","1,581",0,851,0,0,0,0,"1,134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,469","5,674",0,4,0,"1,787",0,2,2,0,0,0,0,0,0,0,0,"1,609,758","804,953"
103 (2014),1,"791,492","151,349","198,382","38,222","210,834","45,400","1,591","33,283","30,667","18,659","27,112","11,344",282,"15,077","6,830",0,"2,446",0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,5,0,0,0,0,"43,393","37,824","5,565",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"8,458",0,"3,074","2,672",0,"1,503",0,0,0,0,"1,207",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"11,086","8,769",0,0,0,"2,300",0,0,0,0,0,0,0,0,0,0,0,"1,708,839","854,554"
103 (2014),2,"906,483","189,882","279,792","43,567","201,225","46,465","1,581","33,347","25,924","18,734","27,608","10,193",11,"15,747","7,385",0,"1,806",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,"3,211",0,0,0,0,"31,186","27,409","3,766",0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"8,002",0,"2,812","2,660",0,"1,352",0,0,0,0,"1,173",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,"11,642","9,194",0,0,0,"2,448",0,0,0,0,0,0,0,0,0,0,0,"1,914,623","957,463"
103 (2014),3,"820,385","148,230","241,546","38,472","219,857","46,188","1,467","27,741","26,668","15,207","19,381","9,294",0,"13,628","5,177",0,"2,008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,"5,516",0,0,0,0,"32,740","28,289","4,440",2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"9,160",0,"3,058","3,319",0,"1,329",0,0,0,0,"1,453",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,544","6,895",0,3,0,"2,646",0,0,0,0,0,0,0,0,0,0,0,"1,743,655","873,540"
103 (2014),4,"930,624","158,636","275,713","39,267","270,335","50,408","1,478","30,076","32,202","13,883","22,572","8,999",0,"13,025","5,602",151,"1,592",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"6,681",0,0,0,0,"36,224","30,914","5,286",6,0,0,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,-,0,0,0,"9,399",0,"3,290","2,915",0,"1,430",0,0,0,0,"1,759",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,"8,906","6,643",0,0,0,"2,249",1,4,0,0,0,4,0,0,0,0,0,"1,970,298","985,216"
103 (2014),5,"982,395","170,816","282,707","39,347","294,242","57,585","1,785","26,930","34,603","14,478","21,674","10,440",0,"13,800","5,108",0,"1,536",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"7,342",0,0,0,0,"42,502","36,388","6,110",0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,"12,587",0,"3,881","4,515",0,"1,575",0,0,0,0,"2,616",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,552","6,531",0,0,0,"3,007",3,1,0,0,0,1,0,0,0,0,0,"2,094,063","1,047,248"
