T_Y,Y_M,Ch_Country,Country,Cases,YMD
106,2017-5,亞洲總計,Asia,1237914,2017-05-01
106,2017-6,亞洲總計,Asia,1272308,2017-06-01
106,2017-7,亞洲總計,Asia,1355325,2017-07-01
106,2017-8,亞洲總計,Asia,1241730,2017-08-01
106,2017-9,亞洲總計,Asia,1095079,2017-09-01
106,2017-10,亞洲總計,Asia,1285049,2017-10-01
97,2008-1,香港,Hong,216776,2008-01-01
97,2008-2,香港,Hong,259884,2008-02-01
97,2008-3,香港,Hong,228301,2008-03-01
97,2008-4,香港,Hong,258031,2008-04-01
97,2008-5,香港,Hong,255719,2008-05-01
97,2008-6,香港,Hong,251685,2008-06-01
97,2008-7,香港,Hong,274405,2008-07-01
97,2008-8,香港,Hong,250006,2008-08-01
97,2008-9,香港,Hong,220795,2008-09-01
97,2008-10,香港,Hong,253255,2008-10-01
97,2008-11,香港,Hong,199105,2008-11-01
97,2008-12,香港,Hong,183208,2008-12-01
98,2009-1,香港,Hong,175264,2009-01-01
98,2009-2,香港,Hong,201180,2009-02-01
98,2009-3,香港,Hong,177558,2009-03-01
98,2009-4,香港,Hong,209572,2009-04-01
98,2009-5,香港,Hong,188605,2009-05-01
98,2009-6,香港,Hong,171663,2009-06-01
98,2009-7,香港,Hong,225279,2009-07-01
98,2009-8,香港,Hong,236981,2009-08-01
98,2009-9,香港,Hong,151704,2009-09-01
98,2009-10,香港,Hong,187493,2009-10-01
98,2009-11,香港,Hong,162237,2009-11-01
98,2009-12,香港,Hong,173465,2009-12-01
99,2010-1,香港,Hong,180195,2010-01-01
99,2010-2,香港,Hong,212642,2010-02-01
99,2010-3,香港,Hong,177922,2010-03-01
99,2010-4,香港,Hong,191960,2010-04-01
99,2010-5,香港,Hong,199976,2010-05-01
99,2010-6,香港,Hong,202330,2010-06-01
99,2010-7,香港,Hong,233849,2010-07-01
99,2010-8,香港,Hong,214189,2010-08-01
99,2010-9,香港,Hong,182089,2010-09-01
99,2010-10,香港,Hong,192302,2010-10-01
99,2010-11,香港,Hong,155861,2010-11-01
99,2010-12,香港,Hong,165318,2010-12-01
100,2011-1,香港,Hong,150640,2011-01-01
100,2011-2,香港,Hong,200974,2011-02-01
100,2011-3,香港,Hong,156827,2011-03-01
100,2011-4,香港,Hong,194703,2011-04-01
100,2011-5,香港,Hong,186636,2011-05-01
100,2011-6,香港,Hong,201592,2011-06-01
100,2011-7,香港,Hong,222871,2011-07-01
100,2011-8,香港,Hong,199126,2011-08-01
100,2011-9,香港,Hong,173906,2011-09-01
100,2011-10,香港,Hong,184965,2011-10-01
100,2011-11,香港,Hong,140825,2011-11-01
100,2011-12,香港,Hong,143695,2011-12-01
101,2012-1,香港,Hong,172687,2012-01-01
101,2012-2,香港,Hong,162344,2012-02-01
101,2012-3,香港,Hong,140015,2012-03-01
101,2012-4,香港,Hong,165907,2012-04-01
101,2012-5,香港,Hong,162217,2012-05-01
101,2012-6,香港,Hong,182643,2012-06-01
101,2012-7,香港,Hong,199490,2012-07-01
